Material Name,Material Type,Material Subtype,Inventory Spaces,Growbed Spaces,Wearable Slot,Storage Provided,Crafted At,Number Produced,Description
Copper Ore,Mineral,,1,,,,,,Cu.  Essential wiring component.
Cave Sulfur,Mineral,,1,,,,,,SO4Tr.  Sulfur-based powder which collects within particular cave plants.  Combustible underwater.
Diamond,Mineral,,1,,,,,,C.  Carbon allotrope with superlative physical properties.
Gas Pod,Mineral,,1,,,,,,An acidic compound produced by the gasopod.  May be repurposed.
Gold,Mineral,,1,,,,,,Au.  Valuable conductive properties.  Highly valuable social property.
Kyanite,Mineral,,1,,,,,,"Al2SiO5.  Deep blue, heat resistant crystal."
Lead,Mineral,,1,,,,,,Pb.  Screening from radiation.
Lithium,Mineral,,1,,,,,,Li.  Applications in high-strength alloys.
Magnetite,Mineral,,1,,,,,,Fe3O4.  Metal oxide with magnetic properties.
Metal Salvage,Mineral,,4,,,,,,Composed primarily of titanium.
Titanium,Mineral,,1,,,,Fabricator,4,Ti.  Basic building material.
Nickel Ore,Mineral,,1,,,,,,Ni.  Versatile alloy ingredient required for advanced fabrication.
Quartz,Mineral,,1,,,,,,SiO4.  Silica in crystalline form.
Ruby,Mineral,,1,,,,,,Al2O3.  Valuable thermo-conductivity and electro-conductance.
Salt Deposit,Mineral,,1,,,,,,NaCl.  Culinary and sanitation applications.
Alien Feces,Mineral,,4,,,,,,"Nutrient-rich manure, suitable for bio-energy production."
Silver Ore,Mineral,,1,,,,,,Ag.  Conductive element and microbicide.
Stalker Teeth,Mineral,,1,,,,,,"A sharp, hardened calcium formation."
Crystalline Sulfur,Mineral,,1,,,,,,S.  Oxidant and reducing agent.
Uranite Crystal,Mineral,,1,,,,,,U3O8.  A highly radioactive material.
Acid Mushroom Spore,Seed,,1,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Blood Oil,Seed,,4,,,,,,"Red, oil-filled pustule.  Contains bloodvine seeds.  May be processed into benzene."
Blue Palm Seed,Seed,,4,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Bulb Bush Sample,Seed,,4,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Cave Bush Seed,Seed,,4,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Creepvine Sample,Seed,,4,,,,,,Silicone-based plant material.
Creepvine Seed Cluster,Seed,,4,,,,,,Indigenous seeds with high silicone and oil content.
Deep Shroom Spore,Seed,,1,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Furled Papyrus Seed,Seed,,4,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Eye Stalk Seed,Seed,,4,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Gabe's Feather Seed,Seed,,4,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Gel Sack Spore,Seed,,1,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Ghost Weed Seed,Seed,,4,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
Jellyshroom Spore,Seed,,4,,,,,,"A mature flora specimen will grow, if planted in the right conditions."
